AM1826a,SPA9
AM1826b,SPA9
AM1828a,ITA6
AM1829a,ACTB
AM1829B,Beta-Actin
AM1831a,ALDH2
AM1832a,MMP14
AM1832b,MMP14
AM1833b,DLG4 (Rat)
AM1834a,Rat Serpinh1
AM1834b,Rat Serpinh1
AM1835a,AFP
AM1835b,AFP
AM1836A,EZH2
AM1837a,Rat Npm1
AM1838b,ALDH6A1
AM1840a,ALDH3A2
AM1842a,NGFR
AM1843a,HLA-A
AM1843b,HLA-A
AM1844a,MMP2
AM1846b,ALDH1A1
AM1847B,ACOX1
AM1848b,AKT2
AM1849B,AKT3
AM1851a,LAMP2
AM1851b,LAMP2
AM1852a,EIF4E
AM1852B,EIF4E
AM1853a,MAP2
AM1854a,RPS6KB2
AM1854b,RPS6KB2
AM1855b,MAPK15
AM1856b,MCFD2
AM1857b,MIPEP
AM1858b,PRKAA1
AM1860b,THEM2
AM1861a,TNK1
AM1861b,TNK1
AM1862b,LIMK1
AM1863a,ACVR1B
AM1863b,ACVR1B
AM1865a,Nephrin
AM1866a,PDK2
AM1866B,PDK2
AM1867a,NTRK1
AM1867b,NTRK1
AM1868a,CDCA8
AM1868b,CDCA8
AM1869a,RET
AM1870a,GFAP
AM1870b,GFAP
AM1871a,PAX6
AM1871b,PAX6
AM1872b,BMP4
AM1873a,UBTD1
AM1873b,UBTD1
AM1875a,CSF1R
AM1877b,HSPA1A
AM1878A,ZEB1 ( Ascites)
AM1879a,LXN ( Ascites)
AM1879b,LXN
AM1880a,RNF8 ( Ascites)
AM1881a,ESR1
AM1882A,RPS6KA1 ( Ascites)
AM1882b,RPS6KA1
AM1883a,URM1
AM1884a,ULK2 ( Ascites)
AM1884b,ULK2
AM1885a,YEATS4 ( Ascites)
AM1885b,YEATS4
AM1886a,VEGFC ( Ascites)
AM1886b,VEGFC
AM1887a,PRKAA2 ( Ascites)
AM1887b,PRKAA2
AM1888A,ZNF622 ( Ascites)
AM1888b,ZNF622
AM1889a,TGM2 ( Ascites)
AM1890a,CABC1 ( Ascites)
AM1890b,CABC1
AM1891a,ZFP37
AM1893a,TGFB2
AM1893B,TGFB2
AM1894a,NLRP12
AM1894b,NLRP12
AM1895a,TRAF2 ( Ascites)
AM1895B,TRAF2
AM1896A,ATG4D
AM1896b,ATG4D
AM1897a,DPF2
AM1898a,EIF4E2
AM1898b,EIF4E2
AM1899a,ELAVL1
AM1899B,ELAVL1
AM1900a,CD25
AM1901b,CD44
AM1902b,ATG4B
AM1903a,MAP4K3
AM1903b,MAP4K3
AM1904a,GBL
AM1905a,MYO1C
AM1906a,MAP3K11
AM1907b,CAMKK2
AM1908a,CDC25C
AM1908b,CDC25C
AM1909a,FUCA2
AM1909b,FUCA2
AM1910b,GNPDA1
AM1911a,MASTL
AM1911b,MASTL
AM1912a,RYK
AM1912b,RYK
AM1913b,Interferon-alpha
AM1915b,DPPA2
AM1916B,INA
AM1917b,PPARGC
AM1919b,TSC2
AM1920a,PTPN11
AM1920b,PTPN11
AM1921a,NUP50
AM1922b,METAP1
AM1923b,CSNK2B
AM1925b,RPS6KL1
AM1926b,DESM
AM1927b,LHX2
AM1929b,VIME
AM1930a,BMI1
AM1930b,BMI1
AM1932a,GSTA1
AM1932b,GSTA1
AM1933b,ATG4C
AM1934a,HIF1A
AM1936a,GSN
AM1936b,GSN
